State,County,Count
Colorado,Delta,2
Colorado,Eagle,2
Colorado,El Paso,1
Colorado,Fremont,1
Colorado,Garfield,1
Colorado,Grand,1
Colorado,Jackson,4
Colorado,Jefferson,1
Colorado,Larimer,3
Colorado,Las Animas,1
Colorado,Mesa,2
Colorado,Montrose,1
Colorado,Morgan,2
Colorado,Rio Blanco,1
Colorado,Rio Grande,1
Colorado,Routt,2
Colorado,Weld,4
Idaho,Jefferson,1
Idaho,Madison,1
Illinois,Boone,1
Illinois,Grundy,1
Iowa,Allamakee,1
Iowa,Buchanan,1
Iowa,Cerro Gordo,1
Iowa,Davis,1
Iowa,Pottawattamie,2
Iowa,Story,1
Iowa,Van Buren,2
Kansas,Harper,1
Kansas,Osage,1
Kansas,Rawlins,1
Kansas,Rooks,1
Kentucky,Breckinridge,1
Louisiana,Concordia,1
Louisiana,Jefferson Davis,1
Louisiana,St. Landry,1
Louisiana,Tangipahoa,1
Michigan,Kent,2
Michigan,Lake,1
Michigan,Mecosta,4
Michigan,Montcalm,4
Michigan,Newaygo,3
Michigan,Osceola,1
Minnesota,Aitkin,1
Minnesota,Beltrami,1
Minnesota,Crow Wing,1
Minnesota,Douglas,1
Minnesota,Houston,1
Minnesota,Lac Qui Parle,1
Minnesota,Meeker,1
Minnesota,Olmstead,1
Minnesota,Pine,1
Minnesota,Ramsey,1
Minnesota,Stearns,1
Minnesota,Winona,2
Mississippi,Benton,1
Mississippi,Tate,1
Missouri,Linn,1
Missouri,Macon,1
Montana,Flathead,1
Montana,Granite,1
Montana,Hill,1
Montana,Withheld due to state statute,1
Nebraska,Buffalo,1
Nebraska,Cherry,1
Nebraska,Cheyenne,1
Nebraska,Dawes,2
Nebraska,Garden,1
Nebraska,Sioux,2
New York,Herkimer,1
New York,Oneida,2
Ohio,Holmes,3
Ohio,Wayne,1
Oklahoma,Lincoln,1
Oklahoma,Oklahoma,1
Pennsylvania,Adams,1
Pennsylvania,Bedford,17
Pennsylvania,Blair,8
Pennsylvania,Cambria,1
Pennsylvania,Clearfield,1
Pennsylvania,Cumberland,1
Pennsylvania,Franklin,3
Pennsylvania,Fulton,11
Pennsylvania,Huntingdon,3
Pennsylvania,Indiana,1
Pennsylvania,Jefferson,2
Pennsylvania,Lancaster,4
Pennsylvania,Luzerne,1
Pennsylvania,Lycoming,1
Pennsylvania,Perry,2
Pennsylvania,Somerset,1
Pennsylvania,Warren,1
South Dakota,Aurora,1
South Dakota,Butte,1
South Dakota,Clark,1
South Dakota,Custer,1
South Dakota,Fall River,1
South Dakota,Haakon,1
South Dakota,McPherson,2
South Dakota,Meade,1
South Dakota,Pennington,2
Texas,Brooks,1
Texas,Cherokee,1
Texas,Duval,1
Texas,Edwards,1
Texas,Frio,2
Texas,Gillespie,1
Texas,Gonzales,1
Texas,Hamilton,1
Texas,Hunt,1
Texas,Kaufman,1
Texas,Kerr,1
Texas,Kimble,2
Texas,Lavaca,1
Texas,Limestone,1
Texas,Mason,1
Texas,Matagorda,1
Texas,Medina,5
Texas,Real,1
Texas,Sutton,2
Texas,Trinity,1
Texas,Uvalde,4
Texas,Washington,1
Texas,Zavala,3
Utah,Carbon,1
Utah,Duchesne,2
Utah,Juab,1
Utah,San Juan,2
Utah,Summit,1
Utah,Utah,1
Utah,Weber,1
West Virginia,Hampshire,1
West Virginia,Hardy,1
West Virginia,Marion,1
Wisconsin,Burnett,2
Wisconsin,Crawford,2
Wisconsin,Dane,1
Wisconsin,Dodge,1
Wisconsin,Eau Claire,2
Wisconsin,Forest,1
Wisconsin,Iowa,2
Wisconsin,Jefferson,1
Wisconsin,Langlade,1
Wisconsin,Lincoln,1
Wisconsin,Manitowoc,1
Wisconsin,Marathon,1
Wisconsin,Marinette,1
Wisconsin,Oconto,1
Wisconsin,Oneida,2
Wisconsin,Outagamie,1
Wisconsin,Portage,5
Wisconsin,Racine,1
Wisconsin,Richland,2
Wisconsin,Rock,1
Wisconsin,Sauk,4
Wisconsin,Shawano,1
Wisconsin,Sheboygan,1
Wisconsin,Taylor,1
Wisconsin,Trempealeau,1
Wisconsin,Vernon,1
Wisconsin,Vilas,1
Wisconsin,Walworth,3
Wisconsin,Washburn,1
Wisconsin,Washington,1
Wisconsin,Waukesha,1
Wisconsin,Waupaca,1
